image_path,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,16_x,16_y,17_x,17_y,18_x,18_y,19_x,19_y
400.1.10.2.jpg,219,378,488,339,437,452,120,421,497,552,468,697,469,742,444,763,458,759,203,651,497,623,517,636,440,708,345,604,472,545,447,625,315,538,526,534,164,495
400.10.12.1.jpg,221,345,498,315,450,412,132,420,500,537,475,655,481,694,460,727,472,716,210,621,502,591,515,606,447,661,355,570,462,524,461,590,303,510,521,516,189,454
400.100.9.2.jpg,187,365,433,281,401,389,110,441,463,469,491,616,506,648,490,670,504,660,211,623,474,535,486,548,452,641,343,540,435,452,444,543,294,480,488,448,156,485
400.101..13.2.jpg,244,405,514,372,456,481,125,452,491,590,454,740,455,784,425,800,444,797,209,669,487,671,489,668,437,736,349,621,471,570,443,649,321,545,512,576,182,522
400.102.11.2.jpg,241,358,502,317,456,428,142,426,509,528,518,713,527,749,501,770,518,764,255,660,531,618,520,624,492,699,396,606,494,533,474,617,337,518,524,510,209,474
400.103.17.2.jpg,205,372,485,336,421,449,118,435,470,548,458,705,461,756,437,783,452,777,202,655,486,633,498,633,441,702,318,611,455,554,429,628,280,532,480,523,161,483
400.104.14.2.jpg,228,350,497,337,444,430,139,400,476,539,453,682,455,729,439,757,450,744,186,641,476,613,489,627,406,695,295,581,456,532,440,611,295,509,507,520,167,455
400.105.17.2.jpg,212,319,503,264,460,389,105,370,503,512,476,686,483,731,456,757,473,751,207,634,517,594,534,604,435,680,326,576,481,503,462,594,327,507,521,473,175,450
400.106.15.2.jpg,207,324,474,285,423,383,127,412,496,478,488,597,499,636,478,664,494,657,197,619,508,530,519,541,458,610,326,536,464,465,462,534,305,474,508,463,165,443
400.107.18.1.jpg,201,337,456,238,414,360,101,374,479,465,477,618,504,689,490,703,500,701,237,625,498,552,517,557,457,622,320,555,443,484,456,555,301,477,493,449,164,450
400.11.15.2.jpg,211,372,477,341,432,448,112,459,477,580,453,720,457,766,432,802,448,790,199,693,484,659,504,663,427,724,321,631,456,581,451,653,287,547,500,548,160,494
400.110.18.2.jpg,229,376,482,359,429,462,147,446,462,587,440,737,434,802,408,823,421,819,181,652,476,669,489,669,405,743,299,613,446,598,433,661,289,545,476,548,185,484
400.111.13.2.jpg,235,308,500,267,443,383,131,398,488,504,459,672,459,718,429,741,450,736,202,609,500,582,507,590,445,653,326,548,466,504,458,571,311,472,511,477,175,438
400.112.16.2.jpg,225,353,474,273,431,393,121,407,488,510,463,667,464,717,440,735,454,730,218,604,495,582,503,583,452,660,322,566,458,522,445,580,294,492,504,481,168,451
400.113.17.2.jpg,211,345,467,288,427,395,110,396,497,506,465,643,475,688,452,703,467,702,222,619,498,576,505,586,431,648,341,553,475,492,456,574,302,500,509,496,169,461
400.114.16.2.jpg,209,368,481,313,417,417,125,430,464,533,434,675,444,731,427,757,438,753,179,639,468,614,476,625,410,672,298,582,456,541,423,604,290,518,474,506,152,466
400.115.9.2.jpg,225,369,483,315,436,441,121,446,498,534,465,692,474,731,437,752,457,751,213,657,484,607,503,625,438,707,338,599,469,518,433,614,311,536,510,508,171,501
